DateTime,zone1,zone2,zone3
9/14/2022 17:10,59.81,14.88,60.77
9/14/2022 17:20,59.68,15.08,60.52
9/14/2022 17:30,60.45,15.25,60.63
9/14/2022 17:40,59.72,15.15,59.29
9/14/2022 17:50,60.75,15.60,60.43
9/14/2022 18:00,61.75,15.78,59.78
9/14/2022 18:10,65.77,16.12,61.37
9/14/2022 18:20,66.32,16.07,59.03
9/14/2022 18:30,65.06,16.22,58.04
9/14/2022 18:40,65.13,16.47,57.15
9/14/2022 18:50,64.52,17.02,56.94
9/14/2022 19:00,63.65,17.13,56.24
9/14/2022 19:10,66.08,17.15,51.95
9/14/2022 19:20,66.94,17.05,52.95
9/14/2022 19:30,66.62,17.16,55.44
9/14/2022 19:40,67.26,18.05,54.48
9/14/2022 19:50,66.96,20.03,54.84
9/14/2022 20:00,73.00,22.26,55.79
9/14/2022 20:10,76.51,24.11,62.53
9/14/2022 20:20,82.39,25.10,68.05
9/14/2022 20:30,82.74,25.22,66.74
9/14/2022 20:40,83.81,25.58,68.08
9/14/2022 20:50,81.23,25.88,67.18
9/14/2022 21:00,84.30,26.00,65.19
9/14/2022 21:10,85.98,26.06,67.49
9/14/2022 21:20,85.59,25.89,69.75
9/14/2022 21:30,86.99,25.98,73.00
9/14/2022 21:40,87.51,25.70,73.34
9/14/2022 21:50,88.95,25.83,75.96
9/14/2022 22:00,92.16,26.09,77.01
9/14/2022 22:10,91.70,25.99,73.23
9/14/2022 22:20,90.84,25.53,72.74
9/14/2022 22:30,89.71,25.12,75.06
9/14/2022 22:40,87.51,24.47,73.68
9/14/2022 22:50,87.19,24.33,71.32
9/14/2022 23:00,89.56,24.05,70.70
9/14/2022 23:10,93.94,23.90,72.26
9/14/2022 23:20,92.75,23.34,78.43
9/14/2022 23:30,90.42,22.97,76.05
9/14/2022 23:40,92.31,22.61,69.06
9/14/2022 23:50,92.21,22.01,68.49
9/15/2022 0:00,92.76,21.59,66.35
9/15/2022 0:10,92.05,20.90,63.73
9/15/2022 0:20,89.95,19.92,63.38
9/15/2022 0:30,86.74,19.22,58.10
9/15/2022 0:40,85.64,18.50,57.86
9/15/2022 0:50,84.56,18.29,58.19
9/15/2022 1:00,80.66,17.16,55.94
9/15/2022 1:10,74.69,17.00,54.00
9/15/2022 1:20,74.42,17.00,55.39
9/15/2022 1:30,70.71,16.26,57.53
9/15/2022 1:40,69.45,16.12,57.10
9/15/2022 1:50,68.70,15.53,55.64
9/15/2022 2:00,68.76,15.00,57.82
9/15/2022 2:10,66.32,14.84,58.82
9/15/2022 2:20,66.15,14.62,57.48
9/15/2022 2:30,67.50,14.02,57.17
9/15/2022 2:40,70.27,14.10,58.37
9/15/2022 2:50,69.05,14.02,58.12
9/15/2022 3:00,68.24,13.83,57.65
9/15/2022 3:10,67.14,13.98,58.46
9/15/2022 3:20,63.60,13.43,56.56
9/15/2022 3:30,62.58,13.52,55.40
9/15/2022 3:40,63.14,13.93,55.19
9/15/2022 3:50,62.34,13.44,55.72
9/15/2022 4:00,56.36,13.19,56.81
9/15/2022 4:10,53.47,13.03,57.76
9/15/2022 4:20,51.62,13.02,54.31
9/15/2022 4:30,52.04,13.10,53.25
9/15/2022 4:40,61.17,13.00,52.68
9/15/2022 4:50,63.44,13.00,52.50
9/15/2022 5:00,63.10,13.02,54.74
9/15/2022 5:10,66.95,13.02,55.38
9/15/2022 5:20,67.87,13.02,56.55
9/15/2022 5:30,67.59,13.22,54.91
9/15/2022 5:40,65.90,13.40,54.67
9/15/2022 5:50,65.97,12.92,54.51
9/15/2022 6:00,65.53,13.33,54.75
9/15/2022 6:10,65.96,13.55,50.61
9/15/2022 6:20,67.97,13.98,49.82
9/15/2022 6:30,68.85,14.08,49.38
9/15/2022 6:40,68.64,13.61,48.47
9/15/2022 6:50,69.26,13.63,49.17
9/15/2022 7:00,65.91,13.00,46.21
9/15/2022 7:10,63.68,12.95,42.87
9/15/2022 7:20,60.21,12.23,40.37
9/15/2022 7:30,59.00,12.02,39.16
9/15/2022 7:40,57.26,11.60,39.65
9/15/2022 7:50,58.61,11.00,35.28
9/15/2022 8:00,60.96,11.05,36.93
9/15/2022 8:10,62.50,11.84,37.06
9/15/2022 8:20,63.15,12.22,34.74
9/15/2022 8:30,62.24,12.15,33.69
9/15/2022 8:40,59.22,12.16,33.66
9/15/2022 8:50,58.40,12.02,32.56
9/15/2022 9:00,57.63,12.80,34.63
9/15/2022 9:10,57.53,13.02,36.22
9/15/2022 9:20,57.49,12.73,36.01
9/15/2022 9:30,59.13,13.40,38.34
9/15/2022 9:40,58.51,13.32,36.26
9/15/2022 9:50,57.62,13.77,39.08
9/15/2022 10:00,58.27,14.05,39.62
9/15/2022 10:10,59.52,14.02,40.29
9/15/2022 10:20,61.20,14.40,40.37
9/15/2022 10:30,60.23,15.05,42.87
9/15/2022 10:40,63.83,14.71,41.84
9/15/2022 10:50,65.20,15.00,44.59
9/15/2022 11:00,65.65,15.15,47.71
9/15/2022 11:10,64.10,15.65,49.65
9/15/2022 11:20,66.99,16.12,48.60
9/15/2022 11:30,68.99,16.92,49.19
9/15/2022 11:40,74.39,16.83,51.38
